Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.16270226817922	0.00296195317610712	0.231207123252167	0.00103665887418413	1.34088253974915	0.159740315003112	0.30863155685039	0.517576091807575	0.00179468428273419	99.5876113394402
797	0.159799729013877		0.227289142158204		1.3260293006897	0.156837775837769	0.300017422188416	0.522762227252499	0.00180339291805875	99.5856143914458
794	0.170873452686364		0.244022825105255		1.31175875663757	0.167911499510257	0.3187392312954	0.52679897240086	0.00180079011698111	99.5862112268466
791	0.186534744432867		0.266807388460257		1.29830348491669	0.183572791256759	0.345051064410449	0.53201630190711	0.00181688740732715	99.5825200944132
788	0.173893614722636		0.248744511335168		1.28535497188568	0.170931661546529	0.31839251973585	0.536858283254707	0.00183524149292838	99.5783116424228
785	0.16853075555217		0.241572764385065		1.27193987369537	0.165568802376063	0.305947463662686	0.541167429185183	0.00185586596198359	99.5735828210182
782	0.17499167380028		0.251331269137331		1.25860202312469	0.172029720624172	0.315021302854404	0.546089166241817	0.00182962015110118	99.5796005543808
779	0.186002522755306		0.26776931869323		1.24614322185516	0.183040569579199	0.332387096080903	0.550684944564293	0.00176287126201514	99.5949066169901
776	0.2056498865684		0.296855488926129		1.23451888561249	0.202687933392293	0.365193932418917	0.555014515300841	0.00170020576309784	99.6092784662113
773	0.234687234627422		0.339702062088662		1.22383856773376	0.231725281451315	0.414471782010985	0.559085784626884	0.00165056718918158	99.6206641625934
770	0.299310632654111		0.435230255218914		1.21381187438965	0.296348679478004	0.527029343027178	0.562300151592739	0.00158635449080715	99.6353946849877
767	0.443459458219479		0.647041590584715		1.20520555973053	0.440497505043371	0.778568735310874	0.565778569142628	0.00160909934933668	99.6301767195066
764	0.479440599738303		0.697275101583943		1.19851565361023	0.476478646562195	0.834452672232855	0.571007394927766	0.00158389490680074	99.635958961826
761	0.386249932843828		0.561187172592812		1.19181299209595	0.383287979667721	0.66759465977908	0.574132782599787	0.00152863624796049	99.6486372250286
758	0.365417277287423		0.531701266948913		1.18398952484131	0.362455324111316	0.628301337164497	0.576881350829308	0.00156942084732871	99.639279659849
755	0.396469702853041		0.577371718273991		1.17633533477783	0.393507749676934	0.677963295043274	0.580426333628898	0.0015492392065854	99.6439099992923
752	0.438293164447397		0.638414287610155		1.16980671882629	0.43533121127129	0.74560863252491	0.583860207998257	0.00154484561465319	99.6449180638932
749	0.480434898592972		0.699783494518256		1.16390073299408	0.477472945416865	0.813271954183429	0.587101206380927	0.00154125265067168	99.6457424402034
746	0.544012060967104		0.792759517706313		1.15848278999329	0.541050107790997	0.917197306401305	0.589895002977985	0.0015472607230373	99.6443639407856
743	0.636741913959611		0.927578300126588		1.15345752239227	0.633779960783504	1.06872642591227	0.593023570314084	0.00154361203000758	99.6452010990701
740	0.718922412898812		1.04603359445307		1.14841175079346	0.715960459722705	1.20008676036194	0.59659058275651	0.00159253573916315	99.6339765994202
737	0.850521366230391		1.23749323907378		1.14263534545898	0.847559413054283	1.41281899166139	0.59990658255351	0.00162178685780572	99.6272661592771
734	1.01693241720119		1.4787189461177		1.13635516166687	1.01397046402508	1.67917189441287	0.603851498109797	0.00174621116382297	99.5987272797407
731	1.07047096923335		1.55546446094776		1.12990951538086	1.06750901605724	1.75636276453548	0.607795290137328	0.00174828123083055	99.5982525429974
728	1.04693121102663		1.52339542970383		1.12338900566101	1.04396925785052	1.71020110582163	0.610436547080215	0.00161640483197655	99.6285008050406
725	1.03147721755811		1.50525933480559		1.11702907085419	1.028515264382	1.68026045805346	0.612116567673984	0.00143002497769498	99.6712660973611
722	1.03475381483505		1.51505131230553		1.11090362071991	1.03179186165895	1.68192436031988	0.613459134073493	0.00125386995938172	99.7117021510126
719	1.00787984643658		1.47939318805836		1.10438621044159	1.00491789326047	1.6326765649473	0.615503348817229	0.001269232488144	99.7081750585365
716	0.907484047887545		1.33422785660717		1.09723365306854	0.904522094711437	1.46282224812738	0.618340400461745	0.0014081868820007	99.6762781006527
713	0.738286591898585		1.08676017815264		1.08915162086487	0.735324638722478	1.18251753083324	0.621829799177985	0.00156884743215301	99.6394112173869
710	0.553472548142437		0.817285207305579		1.07961905002594	0.55051059496633	0.881237482442555	0.624701747184495	0.00175285712640752	99.5972031425991
